Participant_ID,n_fixations,MFD_ms,total_dwell_ms,dispersion_r,scanpath_len_px,longest_fix_ms
P01,309.0,547.6455428122796,165029.17700000035,526.5977540412547,4908.307844882482,3508.270566666821
P02,237.0,1153.5790867448407,182521.28799999628,345.8267208231748,3328.7877580796044,3912.012333333041
P03,303.0,425.6544547786955,124398.64999998645,481.514307069748,4195.474483079381,2158.812933333138
P04,317.0,364.0638135931794,112258.05600000785,463.42005878593807,4680.931475238254,1855.799566666792
P05,301.0,564.0618204132714,160497.05099999483,427.78512187882274,3434.3134578308204,2948.380699999749
P06,280.0,496.8898718414127,135029.87100002973,415.6085047624225,3293.4601439303733,2803.3232000002804
