x,y,validity,timestamp_us,Image,Participant_ID,Participant_Age,Participant_Gender
994.812255859375,564.6160888671875,Valid,10794372493,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.8659057617188,563.227294921875,Valid,10794432923,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
995.1242065429688,562.548583984375,Valid,10794463062,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.8108520507812,562.1557006835938,Valid,10794493316,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.540771484375,561.559326171875,Valid,10794523570,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.30615234375,561.193359375,Valid,10794553745,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.3291625976562,560.7560424804688,Valid,10794583885,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.6257934570312,560.3101806640625,Valid,10794614139,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.4654541015625,560.494873046875,Valid,10794644314,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.676025390625,560.5386962890625,Valid,10794674472,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.9902954101562,560.33251953125,Valid,10794704707,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.9701538085938,560.5115966796875,Valid,10794734980,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.464599609375,560.4583129882812,Valid,10794765234,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.1940307617188,560.3013916015625,Valid,10794795373,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.21875,560.168212890625,Valid,10794825548,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.3236083984375,560.2230834960938,Valid,10794855802,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.3567504882812,560.2304077148438,Valid,10794885960,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.5010986328125,560.1219482421875,Valid,10794916196,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.6343994140625,559.9811401367188,Valid,10794946450,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.6040649414062,560.0145874023438,Valid,10794976607,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.5430908203125,559.87060546875,Valid,10795006861,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.4647827148438,559.63720703125,Valid,10795037037,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.2318115234375,559.7489624023438,Valid,10795067176,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
994.1997680664062,560.0215454101562,Valid,10795097449,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
995.9056396484375,562.7905883789062,Valid,10795127684,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
999.3507080078125,568.6104736328125,Valid,10795157859,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1004.2556762695312,576.1475219726562,Valid,10795188113,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1009.2132568359375,583.1507568359375,Valid,10795218271,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1012.8799438476562,589.0897827148438,Valid,10795248525,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1015.4422607421875,594.0698852539062,Valid,10795278682,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1016.6002197265625,599.2849731445312,Valid,10795308936,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
1017.6531372070312,602.48828125,Valid,10795339172,false\port-at-dieppe-1909.jpg!Large.jpg,1764925868,25,Male
